x,y,hue,cat,location,name
43.07759,15.435227,3,"Big Data, Data Integration, Financial Services, FinTech, Machine Learning, Marketplace, SaaS, Trading Platform",Boston,Keel
-23.09549,-34.253246,5,"Android, Enterprise Software, iOS, Machine Learning, Mobile, Quality Assurance, SaaS, Software",Bay Area,Apptim
-33.975243,27.468771,5,"Analytics, Data Center, Language Learning",Bay Area,SORU
-43.960766,-4.233881,5,"Blockchain, Loyalty Programs, Marketplace, Personalization, Tourism, Travel",Bay Area,"UIQT, Inc."
-46.71374,-0.9223564,5,"Legal, Machine Learning",Bay Area,LawPal
-26.748228,7.386531,5,"Asset Management, Financial Services, FinTech, Machine Learning, Wealth Management",Bay Area,rebrain.ai
25.615913,-25.727129,5,"Machine Learning, Privacy",Bay Area,Acuratio
-11.087551,46.424038,5,"Analytics, Apps, Health Care, Medical Device",Bay Area,Tredomo
-20.994854,-22.458067,4,"Commercial Real Estate, Computer Vision, Machine Learning, Real Estate, Retail, Retail Technology",New York,Exteros
-23.80052,7.3213463,5,"Cyber Security, Internet of Things, Machine Learning, Network Security, Smart Home",Bay Area,pH Networks
42.6169,15.857071,5,"Apps, Social Media",Bay Area,Timepop Technologies (Vibe app)
25.546455,-25.356146,5,"Communities, Internet, Mobile, Professional Networking, Social Network",Bay Area,Qminds
11.719441,-49.404354,3,"Analytics, Information Technology, Internet, Robotics, Software",Boston,Qanairy
21.55518,-23.069458,5,"Analytics, Business Intelligence, Enterprise Software, Machine Learning, Software Engineering",Bay Area,Mindsight
27.01614,-0.9887233,5,"Apps, Enterprise, Machine Learning, Private Social Networking, SaaS",Bay Area,RedLINES App Inc.
-8.391037,-3.5198915,4,"Machine Learning, Natural Language Processing",New York,Paper Digest
11.852216,-46.498745,0,"E-Commerce Platforms, FinTech, Machine Learning, SaaS",Austin,"The Odyssey Project, Inc."
-30.624573,26.793686,5,"Information Technology, Machine Learning, Software",Bay Area,ThunderAct
26.105623,-27.115112,5,"Biometrics, Facial Recognition",Bay Area,Reminis
-21.686491,-31.196356,5,"Consulting, Information Technology, Software",Bay Area,Move to AI
-24.162722,7.291348,5,"Machine Learning, Software",Bay Area,Objects.AI
-8.701325,-1.4967774,5,"Internet of Things, Social Network",Bay Area,TagTalk Inc.
-44.27681,-4.5718904,5,Health Care,Bay Area,"Curesoft, Inc"
17.744642,3.1440475,5,"Analytics, Big Data, Information Technology, Internet of Things, iOS, Machine Learning, Mobile Apps",Bay Area,Proton
3.3591428,-15.511081,4,"Assistive Technology, Enterprise Software, Information Technology, Productivity Tools, Quantified Self, Software",New York,Quantime
-33.00444,28.01138,5,"Augmented Reality, Big Data, Blockchain, Machine Learning, Management Consulting, Parking, Smart Cities, Virtual Reality",Bay Area,GreenData.IO
27.005325,-0.9838705,5,"Big Data, Health Care, Information Technology, Medical",Bay Area,DocEcho
-21.587286,-30.642893,0,"Advertising, Computer Vision, Content Discovery, Machine Learning, Marketing, Media and Entertainment, PaaS, Social Media, Social Media Advertising",Austin,Ploto
-32.147697,28.432417,5,"Call Center, Enterprise Applications, Speech Recognition, Telecommunications",Bay Area,SMARTCALLS
-22.58323,-33.61236,2,"Information Technology, Sports",Los Angeles,Athlon.ai
13.734493,6.1826725,5,"FinTech, Machine Learning, SaaS",Bay Area,DataPi io
40.10107,17.720232,5,Cyber Security,Bay Area,DotBits
-11.783001,48.987476,5,Robotics,Bay Area,Olbrain
-16.014582,-27.17205,5,"CRM, Machine Learning, Sales",Bay Area,SalesX.io
-11.446567,48.458347,0,"Blockchain, Clinical Trials, Health Care, Information Technology, Machine Learning, Medical, mHealth, Mobile, Software",Austin,knowRX
2.4241295,-13.136229,4,Information Technology,New York,Ideas Lab
2.5577748,-15.5505085,4,"Hardware, Internet of Things",New York,Duo AI
13.414693,5.8973937,5,"Internet of Things, Software",Bay Area,Gesto
-7.7594337,-1.2288102,4,"Association, Education, Non Profit, Software",New York,AI Now Institute
-22.593548,-34.590805,3,Machine Learning,Boston,"Jaxon, Inc."
11.866596,-49.398228,3,"Tourism, Travel",Boston,Viageur
21.435907,1.5382291,4,"Financial Services, FinTech, Natural Language Processing",New York,FMeasure
13.41671,5.897993,5,B2B,Bay Area,appliedAI
4.32945,27.615993,4,"Digital Media, Journalism, Machine Learning",New York,Turing Tribe
-43.839325,-4.6063924,5,"Accounting, Billing, Blockchain, Enterprise Resource Planning (ERP), FinTech, Fraud Detection, Machine Learning, Payments, SaaS",Bay Area,AIRY9
25.161594,-0.082274996,4,"Enterprise Software, Industrial Automation, Retail Technology",New York,TDC Fashion
43.66729,14.960227,5,FinTech,Bay Area,QuantAI
-15.069493,-3.6208138,5,"Consumer Electronics, Hardware, Robotics, Software",Bay Area,Geppetto
10.808315,2.450285,5,"E-Learning, EdTech, Education",Bay Area,Think Inc
